PostalCode,Neighborhood,State,County,Latitude,Longitude
66614,Los Cenizos,Nuevo Leon,Apodaca,25.7986,-100.2463
66616,Entronque Laredo-Salinas Victoria,Nuevo Leon,Apodaca,25.855,-100.2472
66616,Cuartel General 7a. Z. M.,Nuevo Leon,Apodaca,25.855,-100.2472
66616,Parque Industrial Aeropuerto 1er Sector,Nuevo Leon,Apodaca,25.855,-100.2472
66620,Residencial Valle Azul,Nuevo Leon,Apodaca,25.8061,-100.1593
66620,Agua Fria,Nuevo Leon,Apodaca,25.8121,-100.1469
66620,Triana,Nuevo Leon,Apodaca,25.8,-100.1717
66620,Cerritos de Agua Fria,Nuevo Leon,Apodaca,25.8061,-100.1593
66623,Artemio Trevino,Nuevo Leon,Apodaca,25.8353,-100.1428
66623,Ciudad Natura,Nuevo Leon,Apodaca,25.8353,-100.1428
66624,Pimsa Oriente,Nuevo Leon,Apodaca,25.8158,-100.1538
66626,Parque Industrial Stiva,Nuevo Leon,Apodaca,25.8158,-100.1538
66626,Parque Industrial Milenium,Nuevo Leon,Apodaca,25.8158,-100.1538
66626,Parque Industrial Villacero,Nuevo Leon,Apodaca,25.8158,-100.1538
66626,Almeria,Nuevo Leon,Apodaca,25.8158,-100.1538
66627,Technology Park,Nuevo Leon,Apodaca,25.8158,-100.1538
66627,ProLogis Park,Nuevo Leon,Apodaca,25.8158,-100.1538
66628,Parque de Investigacion e Inovacion Tecnologica,Nuevo Leon,Apodaca,25.8158,-100.1538
66629,Monterrey Gral. Mariano Escobedo,Nuevo Leon,Apodaca,25.8158,-100.1538
66630,Ejido Mezquital,Nuevo Leon,Apodaca,25.7597,-100.2465
66630,Francisco Martinez,Nuevo Leon,Apodaca,25.7597,-100.2411
66630,Hacienda los Nogales,Nuevo Leon,Apodaca,25.7692,-100.2362
66630,Francisco Elizondo,Nuevo Leon,Apodaca,25.7608,-100.2426
66630,Garcia Mireles,Nuevo Leon,Apodaca,25.7596,-100.2429
66630,Hacienda Del Moro,Nuevo Leon,Apodaca,25.7646,-100.2338
66630,Cantizales,Nuevo Leon,Apodaca,25.7628,-100.2401
66630,Arboledas del Mezquital,Nuevo Leon,Apodaca,25.7663,-100.2374
66630,Las Americas,Nuevo Leon,Apodaca,25.7923,-100.1873
66630,Privada 103,Nuevo Leon,Apodaca,25.7628,-100.2401
66630,El Mezquital,Nuevo Leon,Apodaca,25.7923,-100.1873
66630,Viejo Mezquital,Nuevo Leon,Apodaca,25.7628,-100.2401
66632,Balcones Del Mezquital,Nuevo Leon,Apodaca,25.7529,-100.2409
66632,Cantu,Nuevo Leon,Apodaca,25.7923,-100.1873
66632,Nuevo Mezquital,Nuevo Leon,Apodaca,25.751,-100.2426
66632,Desarrollo Industrial GP Apodaca 2,Nuevo Leon,Apodaca,25.752,-100.2417
66632,Const. Casa Bella,Nuevo Leon,Apodaca,25.752,-100.2417
66632,Villas del Mezquital,Nuevo Leon,Apodaca,25.752,-100.2417
66632,Rincon de la Moraleja,Nuevo Leon,Apodaca,25.752,-100.2417
